,id,title,cover,director_names,scriptor_names,actor_names,director_ids,scriptor_ids,actor_ids,genre,language,made_in,date,length,summary,average_rating,num_votes,rating_percentage,type,related
0,26794435,哪吒之魔童降世,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg,['饺子'],"['饺子', '易巧', '魏芸芸']","['吕艳婷', '囧森瑟夫', '瀚墨', '陈浩', '绿绮', '张珈铭', '杨卫']",['1328441'],"['1328441', '1420109', '1420053']","['1419996', '1400125', '1400124', '1329520', '1372724', '1420051', '1419997']","['剧情', '喜剧', '动画', '奇幻']", 汉语普通话, 中国大陆,2019-07-26(中国大陆),110分钟,天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？,8.4,1717647,"['42.5%', '38.9%', '15.5%', '2.2%', '0.8%']",电影,"['4733428', '6709258', '1291583', '5662329', '1418019', '3287562', '1308807', '1291561', '6277313', '0495023']"
1,26266893,流浪地球,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg,['郭帆'],"['龚格尔', '严东旭', '郭帆', '叶俊策', '杨治学', '吴荑', '叶濡畅', '沈晶晶', '刘慈欣']","['吴京', '屈楚萧', '李光洁', '吴孟达', '赵今麦', '隋凯', '屈菁菁', '张亦驰', '杨皓宇', '阿尔卡基·沙罗格拉茨基', '李虹辰', '杨轶', '姜志刚', '张欢', '雷佳音', '宁浩', '刘慈欣', '郭京飞', '王智', '张子贤', '路阳', '张宁', '张小北', '饶晓志', '陶珞依', '吴晓亮', '龚格尔', '郭帆']",['1276086'],"['1331536', '1395285', '1276086', '1395286', '1395287', '1395288', '1395289', '1410430', '1326565']","['1000525', '1359081', '1275178', '1016771', '1337036', '1319315', '1316540', '1356221', '1318482', '1403359', '1357084', '1342478', '1340171', '1403358', '1312940', '1274265', '1326565', '1274663', '1321587', '1374201', '1321200', '1410503', '1317950', '1326752', '1313739', '1315721', '1331536', '1276086']","['科幻', '冒险', '灾难']", 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语, 中国大陆,2019-02-05(中国大陆),125分钟,近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强（吴京 饰）在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启（屈楚萧 饰）长大，他带着妹妹朵朵（赵今麦 饰）偷偷跑到地表，偷开外公韩子昂（吴孟达 饰）的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……本片根据刘慈欣的同名小说改编。,7.9,1769525,"['35.0%', '36.1%', '21.3%', '4.9%', '2.7%']",电影,"['4920389', '1889243', '1652587', '3541415', '1432146', '5864085', '1291843', '1866479', '6390823', '3075287']"
2,30166972,少年的你,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg,['曾国祥'],"['林咏琛', '李媛', '许伊萌']","['周冬雨', '易烊千玺', '尹昉', '周也', '吴越', '黄觉', '张艺凡', '张耀', '张歆怡', '赵润南', '郜玄铭']",['1274534'],"['1359881', '1359882', '1330070']","['1274224', '1340022', '1340310', '1412762', '1310696', '1275273', '1416912', '1404000', '1316839', '1416890', '1403652']","['剧情', '爱情', '犯罪']", 汉语普通话, 中国大陆 / 中国香港,2019-10-25(中国大陆),135分钟,陈念（周冬雨 饰）是一名即将参加高考的高三学生，同校女生胡晓蝶（张艺凡 饰）的跳楼自杀让她的生活陷入了困顿之中。胡晓蝶死后，陈念遭到了以魏莱（周也 饰）为首的三人组的霸凌，魏莱虽然表面上看来是乖巧的优等生，实际上却心思毒辣，胡晓蝶的死和她有着千丝万缕的联系。一次偶然中，陈念邂逅了名为小北（易烊千玺 饰）的小混混，随着时间的推移，心心相惜的两人之间产生了真挚的感情。小北答应陈念在暗中保护她免受魏莱的欺凌，没想到这一决定引发了一连串的连锁反应。负责调查胡晓蝶死因的警官郑易（尹昉 饰）隐隐察觉到校园里的古怪气氛，可他的调查却屡屡遭到校方的阻挠。,8.2,1376612,"['34.2%', '46.6%', '16.0%', '2.1%', '1.2%']",电影,"['3319755', '7024903', '5827935', '5716096', '4739952', '0170448', '6366465', '4733428', '6874741', '6794435']"
3,32659890,我和我的祖国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.jpg,"['陈凯歌', '张一白', '管虎', '薛晓路', '徐峥', '宁浩', '文牧野']","['文宁', '修梦迪', '薛晓路', '何可可', '徐峥', '管虎', '张冀']","['黄渤', '张译', '韩昊霖', '杜江', '葛优', '刘昊然', '宋佳', '王千源', '任素汐', '吴京', '朱一龙', '王东', '陈飞宇', '佟丽娅', '欧豪', '张嘉益', '惠英红', '龚蓓苾', '田壮壮', '韩东君', '辛柏青', '周冬雨', '任达华', '江珊', '王砚辉', '耿乐', '姜武', '梁静', '佟大为', '魏晨', '胡军', '王天辰', '彭昱畅', '罗海琼', '郭丞', '周依然', '樊雨洁', '刘涛', '马伊琍', '张建亚', '徐峥', '王洛勇', '高亚麟', '王道铁', '程禹森', '马书良', '景海鹏', '陈冬', '雷佳音', '张子枫', '陶虹', '郭京飞', '袁文康', '贾晨飞', '邵汶', '张芝华', '段博文', '郎平']","['1023040', '1275554', '1274919', '1275139', '1274297', '1274265', '1349765']","['1327359', '1424243', '1275139', '1339571', '1274297', '1274919', '1327606']","['1274242', '1274761', '1396506', '1322949', '1000905', '1336305', '1042341', '1314827', '1362973', '1000525', '1318883', '1423221', '1366646', '1275756', '1337644', '1275044', '1016847', '1274298', '1274287', '1348542', '1021293', '1274224', '1031194', '1276046', '1322085', '1274576', '1274290', '1274641', '1009179', '1035594', '1032540', '1366846', '1354775', '1274417', '1410008', '1386044', '1420308', '1011562', '1011935', '1276057', '1274297', '1274819', '1314443', '1331568', '1423083', '1313512', '1367913', '1367918', '1312940', '1274254', '1015199', '1274663', '1274820', '1391651', '1330994', '1315113', '1313011', '1367118']",['剧情'], 汉语普通话, 中国大陆,2019-09-30(中国大陆),155分钟,七位导演分别取材新中国成立70周年以来，祖国经历的无数个历史性经典瞬间。讲述普通人与国家之间息息相关密不可分的动人故事。聚焦大时代大事件下，小人物和国家之间，看似遥远实则密切的关联，唤醒全球华人共同回忆。,7.6,949712,"['20.9%', '44.9%', '29.1%', '3.8%', '1.1%']",电影,"['5051512', '0295905', '6861685', '0413052', '5096844', '6363254', '0128916', '3011091', '4841067', '7060077']"
4,27010768,寄生虫,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561439800.jpg,['奉俊昊'],"['奉俊昊', '韩珍元']","['宋康昊', '李善均', '曹汝贞', '崔宇植', '朴素丹', '李姃垠', '张慧珍', '郑知晓', '朴明勋', '朴叙俊', '朴根禄', '郑贤俊', '朴孝新', '安德烈亚斯·弗龙克']",['1062919'],"['1062919', '1421042']","['1031238', '1275333', '1205984', '1319427', '1343344', '1356030', '1414462', '1351364', '1421141', '1318607', '1366649', '1420959', '1396461', '1381796']",['剧情'], 韩语 / 英语, 韩国,2019-05-21(戛纳电影节),132分钟,基宇（崔宇植 饰）出生在一个贫穷的家庭之中，和妹妹基婷（朴素丹 饰）以及父母在狭窄的地下室里过着相依为命的日子。一天，基宇的同学上门拜访，他告诉基宇，自己在一个有钱人家里给他们的女儿做家教，太太是一个头脑简单出手又阔绰的女人，因为自己要出国留学，所以将家教的职位暂时转交给基宇。就这样，基宇来到了朴社长（李善均 饰）家中，并且见到了他的太太（赵汝贞 饰），没过多久，基宇的妹妹和父母也如同寄生虫一般的进入了朴社长家里工作。然而，他们的野心并没有止步于此，基宇更是和大小姐坠入了爱河。随着时间的推移，朴社长家里隐藏的秘密渐渐浮出了水面。,8.8,1259766,"['48.8%', '42.1%', '8.2%', '0.6%', '0.3%']",电影,"['0334073', '1305487', '0318116', '6611804', '0176393', '7059130', '6580232', '1300299', '5921812', '5917973']"
5,26100958,复仇者联盟4：终局之战,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2552058346.jpg,"['安东尼·罗素', '乔·罗素']","['克里斯托弗·马库斯', '斯蒂芬·麦克菲利', '斯坦·李', '杰克·科比', '吉姆·斯特林']","['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '乔什·布洛林', '保罗·路德', '凯伦·吉兰', '杰瑞米·雷纳', '斯嘉丽·约翰逊', '唐·钱德尔', '布丽·拉尔森', '布莱德利·库珀', '泰莎·汤普森', '汤姆·赫兰德', '伊丽莎白·奥尔森', '本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '格温妮斯·帕特洛', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '安东尼·麦凯', '塞巴斯蒂安·斯坦', '克里斯·帕拉特', '汤姆·希德勒斯顿', '佐伊·索尔达娜', '丹娜·奎里拉', '本尼迪克特·王', '庞·克莱门捷夫', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '伊万杰琳·莉莉', '乔恩·费儒', '海莉·阿特维尔', '娜塔莉·波特曼', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '米歇尔·菲佛', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '温斯顿·杜克', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '弗兰克·格里罗', '真田广之', '汤姆-沃恩-劳勒', '詹姆斯·达西', '雅各布·巴特朗', '范·迪塞尔', '罗伯特·雷德福', '塞缪尔·杰克逊', '伊薇特·尼科尔·布朗', '卡梅伦·布鲁姆布罗', '蒂莫西·卡尔', '凯瑞·康顿', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', '丹妮拉·加斯基', '郑肯', '小弗洛伊德·安东尼·约翰', '斯坦·李', '罗斯·马昆德', '布伦特·麦吉', '迈克尔·皮耶里诺·米勒', '卡兰·马尔韦', '泰瑞·诺塔里', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', '泰·辛普金斯', '格雷格·蒂芬']","['1321812', '1320870']","['1276125', '1276126', '1013888', '1050183', '1360715']","['1016681', '1017885', '1040505', '1021959', '1004568', '1002667', '1036344', '1013770', '1054453', '1053573', '1027194', '1013757', '1027395', '1325351', '1129847', '1009405', '1025152', '1018985', '1004610', '1022661', '1327680', '1027217', '1021985', '1017967', '1004596', '1047985', '1308787', '1301179', '1313255', '1014003', '1356810', '1021963', '1027164', '1000051', '1054454', '1047974', '1076354', '1025214', '1053620', '1035642', '1031849', '1000018', '1022552', '1362864', '1010545', '1339359', '1100321', '1027879', '1332428', '1049713', '1376777', '1041020', '1053617', '1054408', '1210466', '1392731', '1392730', '1013874', '1392741', '1342808', '1321687', '1392734', '1392732', '1275017', '1392722', '1013888', '1348037', '1392739', '1392737', '1126747', '1341026', '1133195', '1344984', '1322702', '1392736']","['剧情', '动作', '科幻', '奇幻', '冒险']", 英语 / 日语 / 科萨语, 美国,2019-04-24(中国大陆),181分钟,一声响指，宇宙间半数生命灰飞烟灭。几近绝望的复仇者们在惊奇队长（布丽·拉尔森 Brie Larson 饰）的帮助下找到灭霸（乔什·布洛林 Josh Brolin 饰）归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。如是过了五年，迷失在量子领域的蚁人（保罗·路德 Paul Rudd 饰）意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长（克里斯·埃文斯 Chris Evans 饰）冰释前嫌的托尼（小罗伯特·唐尼 Robert Downey Jr. 饰）找到了穿越时空的方法，星散各地的超级英雄再度集结，他们分别穿越不同的时代去搜集无限宝石。而在这一过程中，平行宇宙的灭霸察觉了他们的计划。注定要载入史册的最终决战，超级英雄们为了心中恪守的信念前仆后继……,8.5,1007803,"['46.5%', '35.0%', '15.6%', '2.0%', '1.0%']",电影,"['4773958', '1432146', '5820460', '4920389', '1866475', '6560058', '0485647', '1866473', '6213252', '7065154']"
6,30163509,飞驰人生,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg,['韩寒'],['韩寒'],"['沈腾', '黄景瑜', '尹正', '张本煜', '尹昉', '田雨', '魏翔', '赵文瑄', '腾格尔', '易小星', '李庆誉', '高华阳', '刘帅良', '李玲玉', '何穗', '潘晓婷', '田原', '李春嫒', '冯绍峰']",['1275307'],['1275307'],"['1325700', '1354442', '1332934', '1338466', '1340310', '1316331', '1355058', '1018759', '1299052', '1317854', '1408302', '1341199', '1337891', '1314149', '1316769', '1313269', '1004530', '1364470', '1275721']",['喜剧'], 汉语普通话 / 英语, 中国大陆,2019-02-05(中国大陆),98分钟,曾经叱咤风云的拉力赛车手张驰（沈腾 饰），五年前因私自赛车而被禁赛。从天堂跌落谷底，张驰饱尝生活的艰辛。他忍辱负重，洗心革面，终于争取到了解禁的判决。在此之后，他重新找到亲如兄弟的领航员孙宇强（尹正 饰），决心共同冲击本年度的巴音布鲁克拉力赛。然而在此之前，张驰必须重考驾照，改装赛车，拉到赞助。每一步都充满艰难，他忍受着旁人的奚落嘲讽，忍受着现实的冰冷残酷，无论如何都不改变前进的目标。当他好不容易走到了赛场，还将面对禁赛这几年崛起的新秀林臻东（黄景瑜 饰）的挑战。张驰的时代是否就此远去……,6.9,849485,"['11.5%', '34.8%', '41.2%', '10.3%', '2.2%']",电影,"['7038183', '7605698', '5964071', '5986662', '1306249', '0574622', '1291543', '4237879', '6698897', '6926321']"
7,30176393,误杀,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614628862.jpg,['柯汶利'],"['杨薇薇', '翟培', '李鹏', '范凯华', '秦语谦', '雷声']","['肖央', '谭卓', '陈冲', '姜皓文', '秦沛', '边天扬', '许文姗', '张熙然', '施名帅', '黄健玮', '陈志朋']",['1417306'],"['1366232', '1425466', '1425467', '1425468', '1425469', '1423396']","['1274979', '1312976', '1044964', '1317884', '1048476', '1403817', '1408521', '1425470', '1358341', '1274687', '1274865']","['剧情', '悬疑', '犯罪']", 汉语普通话 / 泰语, 中国大陆,2019-12-13(中国大陆),112分钟,李维杰（肖央 饰）与妻子阿玉（谭卓 饰）来泰打拼17年，膝下育有两个女儿，年届四十的他靠开设网络公司为生，为人也颇得小镇居民的好感，而这一切美好却被突如其来的不速之客打破。这个充斥走私，贩毒活动的边陲小镇，各种权力交织碾压公平正义。李维杰的大女儿平平（许文珊 饰）被督察长拉韫（陈冲 饰）的儿子素察（边天扬 饰）迷奸，因反抗误杀对方。李维杰曾亲眼目睹督察长滥用私刑，深知法律无用，为了维护女儿，捍卫家人，李维杰埋尸掩盖一切证据，在时间与空间的交错缝隙中，与警方在身心层面，展开了殊死一搏的较量。,7.5,826997,"['15.7%', '50.0%', '29.4%', '4.0%', '0.9%']",电影,"['6580232', '0318116', '2493124', '6425063', '0334073', '1305487', '6311973', '5884801', '1510624', '1300299']"
8,27119724,小丑,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg,['托德·菲利普斯'],"['托德·菲利普斯', '斯科特·西尔弗', '鲍勃·凯恩', '比尔·芬格', '杰瑞·罗宾逊']","['华金·菲尼克斯', '罗伯特·德尼罗', '马克·马龙', '莎姬·贝兹', '谢伊·惠格姆', '弗兰西丝·康罗伊', '布莱恩·考伦', '布莱恩·泰里·亨利', '布莱特·卡伦', '道格拉斯·霍奇斯', '格伦·弗莱舍尔', '比尔·坎普', '乔什·帕斯', '但丁·佩雷拉-奥尔森', '玛丽·凯特·马拉特', '迈克尔·本茨', '莎珑·华盛顿', '桑德拉·詹姆斯', '托尼·赫德', '曼德拉·贝拉米', '乔·奥克曼', '卡尔·伦德施泰特', '米克·奥罗克', '大卫·吉布森', '伊万·罗萨多', '安妮·比萨比亚', '布莱斯·科里根', '乔恩·道格拉斯·雷尼', '艾恩斯利·丹恩', '杰森·约翰·奇卡莱塞']",['1036390'],"['1036390', '1313129', '1041392', '1006536', '1184563']","['1047979', '1054445', '1116943', '1370059', '1165173', '1040622', '1006993', '1390623', '1049693', '1327055', '1346468', '1349856', '1018122', '1403250', '1261407', '1337106', '1364244', '1366881', '1208333', '1418489', '1387248', '1369047', '1375367', '1399593', '1404969', '1392758', '1281306', '1178414', '1403279', '1182859']","['剧情', '惊悚', '犯罪']", 英语, 美国 / 加拿大,2019-08-31(威尼斯电影节),122分钟,湿冷无望的哥谭市，卑微的亚瑟·弗兰克（华金·菲尼克斯 Joaquin Phoenix 饰）依靠扮演小丑赚取营生。与之相依为命的母亲患有精神疾病，而亚瑟深记母亲的教诲，无论遭受怎样的挫折都笑对人生，却因此让自己背负着莫大的压力，濒临崩溃。他梦想成为一名脱口秀演员，怎奈生活一次次将失望狠狠地砸在他的头上。不仅如此，他因意外丢掉了工作，偶然瞥见母亲的秘密，又使他心中燃起对那个与之地位悬殊却从未谋面的父亲的殷切渴望。命运习惯了事与愿违，空荡荡的地铁内，悲伤的小丑在无法自已的癫狂笑声中大开杀戒……本片荣获第76届威尼斯电影节金狮奖。,8.7,922851,"['49.9%', '38.0%', '10.3%', '1.2%', '0.6%']",电影,"['1305487', '1300299', '0176393', '1293544', '1851857', '1292223', '5912992', '1292000', '1360417', '6611804']"
9,30331149,白蛇：缘起,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2544313786.jpg,"['黄家康', '赵霁']",['大毛'],"['张喆', '杨天翔', '唐小喜', '刘薇', '张遥函', '郑小璞', '张博恒', '张赫', '马程', '程寅', '陈霖生', '惠龙', '林强', '章斌']","['1401171', '1401175']",['1401317'],"['1389748', '1341265', '1340810', '1404931', '1384029', '1379735', '1390807', '1406312', '1404930', '1408942', '1352020', '1387169', '1340112', '1408943']","['爱情', '动画', '奇幻']", 汉语普通话, 中国大陆 / 美国,2019-01-11(中国大陆),99分钟,幽暗洞中，白蛇（张喆 配音）苦苦修炼却不得其法，小青见此情景，将发髻上的碧玉簪子取下，令白蛇攥在手中。那一刻，五百年前的记忆瞬间苏醒。五百年前，晚唐君主昏聩庸碌，掌握邪术的国师只手遮天，命令天下百姓捕蛇修法。为了拯救族群，白蛇冒险行刺，结果却遭遇挫败，还失去了记忆。当她再度醒来，发现自己被一个专门捕蛇的村落所救下，而那个胆小却善良的青年许宣（杨天翔 配音）则吸引了白蛇的注意。与此同时，国师派出爪牙四处追寻白蛇的下落，而蛇族更误解白蛇叛逃人类，接二连三派出杀手。五百年后的一段姻缘，早在这乱世之间便已缔结……,7.8,703745,"['24.0%', '45.2%', '27.0%', '3.3%', '0.5%']",电影,"['1308807', '1291583', '1418019', '6709258', '6794435', '4202982', '1297359', '0435124', '6277313', '5907124']"
